episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
42,1400.0,902,24736,0.1,0.05428239452936975,69.67028987500817,True,False
43,560.0,590,25326,0.1,0.05795909988940978,71.3789304579841,True,False
44,380.0,478,25804,0.1,0.05365409692749381,72.76336520799669,True,False
45,570.0,519,26323,0.1,0.05620008887896358,74.31311916699633,True,False
46,370.0,590,26913,0.1,0.05510964461702954,76.02547133300686,True,False
47,920.0,707,27620,0.1,0.05418329955589047,78.10201920801774,True,False
48,1280.0,687,28307,0.1,0.0668889251619316,80.07964191702195,True,False
49,570.0,558,28865,0.1,0.061383053703632735,81.7054909170256,True,False
50,1440.0,739,29604,0.1,0.06639923998028846,83.88647299999138,True,False
51,380.0,413,30017,0.1,0.06317732437034544,85.74189549998846,True,False
52,370.0,500,30517,0.1,0.0556621617116034,87.59967133303871,True,False
53,470.0,416,30933,0.1,0.05702185795570795,88.87214925000444,True,False
54,620.0,603,31536,0.1,0.06527451367814414,90.69996066699969,True,False
55,650.0,532,32068,0.1,0.05738519278487989,92.27328433300136,True,False
56,1010.0,714,32782,0.1,0.06206502476079243,94.42655787500553,True,False
57,750.0,619,33401,0.1,0.06301381282748715,96.2532148330356,True,False
58,370.0,435,33836,0.1,0.06354251801284082,97.55420783301815,True,False
59,1570.0,922,34758,0.1,0.062367332382532566,100.2174169170321,True,False
60,1390.0,851,35609,0.1,0.0642091873639696,102.66838387498865,True,False
61,330.0,423,36032,0.1,0.06578161881990591,103.90473250002833,True,False
62,710.0,568,36600,0.1,0.06076419269206973,105.55838487501023,True,False
63,890.0,642,37242,0.1,0.06587056223652325,107.41452091699466,True,False
64,820.0,587,37829,0.1,0.055985664594031516,109.11010295798769,True,False
65,530.0,593,38422,0.1,0.06438451428343919,110.82380483299494,True,False
66,580.0,628,39050,0.1,0.06012486140866568,112.62786133302143,True,False
67,1880.0,818,39868,0.1,0.06298449034007585,114.98961662501097,True,False
68,560.0,566,40434,0.1,0.076308240671477,116.63093637500424,True,False
69,630.0,619,41053,0.1,0.06794545646877058,118.42578562500421,True,False
70,390.0,501,41554,0.1,0.07081536768376827,119.8827290420304,True,False
71,310.0,495,42049,0.1,0.06753340990643107,121.32572658301797,True,False
72,390.0,389,42438,0.1,0.06485687584145781,122.46387762500672,True,False
73,330.0,476,42914,0.1,0.0711441072517959,123.8535356670036,True,False
74,270.0,351,43265,0.1,0.08236111353405497,124.88513441703981,True,False
75,470.0,458,43723,0.1,0.06189620691727389,126.22371704201214,True,False
76,700.0,609,44332,0.1,0.08666691960754737,128.65419179201126,True,False
77,880.0,761,45093,0.1,0.06947300574791275,130.85723258298822,True,False
78,600.0,547,45640,0.1,0.06877814828465781,132.45725437504007,True,False
79,1810.0,1205,46845,0.1,0.06827719373770826,135.9197702500387,True,False
80,400.0,524,47369,0.1,0.06749664996004173,137.44577962503536,True,False
81,830.0,708,48077,0.1,0.08429811898050672,139.51920891698683,True,False
82,480.0,419,48496,0.1,0.0656564817187332,140.75009695801418,True,False
83,1050.0,710,49206,0.1,0.08073084171871933,142.83129316702252,True,False
84,1380.0,1083,50289,0.1,0.07916376455188677,145.95272075000685,True,False
85,290.0,336,50625,0.1,0.08896674091617267,146.94036958302604,True,False
86,450.0,447,51072,0.1,0.08229722849292946,148.2436596250045,True,False
87,1770.0,784,51856,0.1,0.08288379247794497,150.5006174170412,True,False
